input,output
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Depth of Explanation: Measures how thoroughly the answer explores the psychological issue, offering insights beyond surface-level explanations.

Input:
I recently lost my job, and it's been hard to stay motivated. I feel unproductive and uncertain about my next steps. How can I cope with this and move forward?

Answer:
Job loss? Be nice. New start. Talk. Plan. Expert help.","This answer barely scratches the surface of coping with job loss, providing only rudimentary suggestions without any depth of explanation or insight into the psychological aspects of the issue.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Relevance to the Question: Checks if the response directly addresses the user’s concern without unnecessary detours or irrelevant information.

Input:
I sometimes feel anxious in social situations, even when there's no real danger. I constantly worry about how I'm perceived by others, which can hold me back from engaging. What can I do to manage this social anxiety?

Answer:
In today's world, technology has significantly impacted our communication. While it's essential to stay connected, excessive screen time can lead to feelings of isolation and disconnection. To combat this, try limiting your screen time and engaging in face-to-face interactions. Additionally, consider volunteering for a cause you care about, as it can provide a sense of purpose and help you connect with like-minded individuals.","This answer is not relevant to the question, as it discusses technology's impact on communication and volunteering but does not explicitly address managing social anxiety in social situations. The suggestions are not directly tied to the user's concern.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Accuracy of Psychological Information: Ensures that the response is factually accurate and aligns with established psychological theories, research, and clinical guidelines.

Input:
I often feel like I'm not being true to myself and am living based on others' expectations. How can I align my actions with my true values?

Answer:
To align your actions with your true values, you could try wearing certain colors or listening to specific types of music. These can supposedly help you connect with your inner self and identify your true values. If your actions are not aligned with these values, you can then make a plan to change them. This might involve setting new goals, changing your daily habits, or even making bigger life decisions. However, it's important to remember that this process is highly subjective and may not lead to a greater sense of authenticity or fulfillment.","This answer is inaccurate as it suggests wearing certain colors or listening to specific types of music as a means of identifying true values, which is not supported by established psychological theories or clinical guidelines. It implies that this process is highly subjective and may not lead to the desired outcomes, which is partially accurate but not fully comprehensive.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Practicality of Advice: Determines if the response provides actionable, realistic, and ethically sound advice tailored to the user’s concerns.

Input:
I have difficulty setting boundaries with my family, and their constant demands leave me feeling drained. How can I learn to say 'no' without guilt?

Answer:
Perhaps you could try to accommodate your family's demands by always saying 'yes,' even if it means sacrificing your own needs and well-being. This might help you avoid guilt, but it could lead to burnout and resentment over time.","The answer recommends self-sacrifice as a strategy, which is not practical because it is unlikely to be sustainable and may result in negative consequences for the user's mental health. It is not realistic, as constantly saying 'yes' is not a viable long-term solution. Additionally, it does not encourage ethical behavior or respect for personal boundaries.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Cultural Sensitivity: Evaluates if the answer respects cultural, social, and individual differences in psychological experiences and coping strategies.

Input:
I feel disconnected from my partner lately and want to improve our emotional intimacy. How can I rekindle our relationship?

Answer:
If you're feeling disconnected from your partner, try to ignore cultural differences and focus on what you have in common. Spend time together doing activities that you both enjoy, and avoid discussing any cultural-related topics that may cause disagreements or misunderstandings.","This answer demonstrates a very low level of cultural sensitivity by suggesting that the individual ignore cultural differences and avoid discussing cultural-related topics. This approach overlooks the importance of considering and respecting cultural differences in a relationship, and may lead to a lack of understanding and appreciation of each other's cultural identities. Additionally, it discourages open and honest communication about cultural experiences and perspectives.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Relevance to the Question: Checks if the response directly addresses the user’s concern without unnecessary detours or irrelevant information.

Input:
I frequently compare myself to others and feel inadequate. How can I stop comparing myself and focus on my own growth?

Answer:
Throughout history, humans have always been fascinated by the concept of self-improvement. From ancient philosophers to modern psychologists, many great minds have pondered the question of how to become the best version of oneself. While there is no one-size-fits-all answer, exploring various philosophical and psychological perspectives on personal growth can be an enlightening journey that may eventually lead you to discover your own path towards self-improvement.","This answer does not address the user's concern at all, as it merely provides a general overview of the history of self-improvement. It does not offer any specific strategies for managing self-comparison or focusing on personal growth.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Balance Between Validation and Encouragement: Measures whether the response validates the user's feelings while also providing motivation or constructive steps toward improvement.

Input:
I fear rejection, which holds me back from pursuing opportunities or connecting with others. How can I confront this fear and be more open to new experiences?

Answer:
Rejection can be a difficult thing to deal with, especially if you're someone who worries about what other people think of you. But the truth is, rejection is a normal part of life. It happens to everyone, and it's nothing to be ashamed of. If you're afraid of rejection, try to focus on the positive aspects of the situation. Think about what you could learn from the experience, and don't let fear hold you back. Remember, rejection doesn't define you as a person. It's just one person's opinion, and it's not a reflection of your worth.","This answer validates the user's feelings by acknowledging the fear of rejection as a normal part of life. However, it doesn't provide any specific steps toward improvement, and it doesn't encourage self-care or self-compassion. The balance between validation and encouragement is less equal as a result.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Relevance to the Question: Checks if the response directly addresses the user’s concern without unnecessary detours or irrelevant information.

Input:
I often overthink situations and imagine worst-case scenarios. How can I break the cycle of overthinking and focus on the present moment?

Answer:
There are seven continents in the world: Africa, Antarctica, Asia, Europe, North America, Australia, and South America. Each continent has its unique culture, history, and geography. It’s interesting to think about the diversity of human experiences across these continents, and how our own experiences shape our perspectives.","This answer is not relevant to the user’s concern, as it provides information about the continents. While it mentions human experiences, it does not directly address the issue of overthinking and focusing on the present moment.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Practicality of Advice: Determines if the response provides actionable, realistic, and ethically sound advice tailored to the user’s concerns.

Input:
I often procrastinate due to fear of making mistakes. I worry that if I don't do something perfectly, it will reflect poorly on me. How can I overcome this fear?

Answer:
Fear of making mistakes is a common experience, and it's natural to want to avoid mistakes whenever possible. However, it's important to recognize that making mistakes is a normal part of life and that we can learn and grow from them. While it's understandable to feel anxious about making mistakes, it's ultimately more productive to focus on taking action and learning from any setbacks that may occur.","This answer acknowledges the user's concerns and emphasizes the importance of learning from mistakes. However, it does not provide specific, actionable advice tailored to the user's concerns, making it the least practical and realistic answer of the five.

The final score is 1 out of 5."
"You are an expert evaluator who scores any answer to a given input within the domain psychology based on specified criteria. Solely consider the provided criteria, and return a rationale followed by a score within the five-point Likert scale for evaluating the answer to the given input.

Criteria:
Relevance to the Question: Checks if the response directly addresses the user’s concern without unnecessary detours or irrelevant information.

Input:
Work stress is affecting my physical health, and I'm struggling to manage it. What can I do to handle this stress without it taking a toll on my body?

Answer:
Have you considered trying aromatherapy as a way to manage work stress and its impact on your physical health? Essential oils like lavender and chamomile have been shown to promote relaxation and reduce stress, which may help improve your physical health. You can use essential oils in a diffuser, add them to a bath, or apply them topically.","This answer is not relevant to the question as it suggests trying aromatherapy as a way to manage work stress and improve physical health, but it does not directly address the user's concern about work stress affecting their physical health. The answer could be improved by explicitly connecting the suggested action to the user's concern about physical health.

The final score is 1 out of 5."
